name,nse_tradingsymbol,bse_tradingsymbol,nse_instrument_token,bse_instrument_token
20 Microns Limited,20MICRONS,20MICRONS,4331777,136453636
21st Century Management Services Limited,21STCENMGM,21STCENMGM,1025,134891780
3M India Limited,3MINDIA,3MINDIA,121345,133989124
3P Land Holdings Limited,3PLAND,3PLAND,664321,132119556
5Paisa Capital Limited,5PAISA,5PAISA,113921,138438660
Aarti Drugs Limited,AARTIDRUGS,AARTIDRUGS,1147137,134233092
Aarti Industries Limited,AARTIIND,AARTIIND,1793,134197252
Aarti Surfactants Limited,AARTISURF,AARTISURF,4923649,139061764
Aavas Financiers Limited,AAVAS,AAVAS,1378561,138748932
ABB India Limited,ABB,ABB,3329,128000516
Abbott India Limited,ABBOTINDIA,ABBOTINDIA,4583169,128124932
Aditya Birla Capital Limited,ABCAPITAL,ABCAPITAL,5533185,138416900
Aditya Birla Fashion and Retail Limited,ABFRL,ABFRL,7707649,137153284
ACC Limited,ACC,ACC,5633,128104964
Accelya Solutions India Limited,ACCELYA,ACCELYA,1805569,136260612
Action Construction Equipment Limited,ACE,ACE,3478273,136387076
Acrysil Limited,ACRYSIL,ACRYSIL,481025,134167300
Adani Enterprises Limited,ADANIENT,ADANIENT,6401,131225348
Adani Ports and Special Economic Zone Limited,ADANIPORTS,ADANIPORTS,3861249,136427780
ADF Foods Limited,ADFFOODS,ADFFOODS,5058817,132910852
Ador Welding Limited,ADORWELD,ADORWELD,8705,132362500
Adroit Infotech Limited,ADROITINFO,ADROITINFO,1267969,136236036
Allied Digital Services Limited,ADSL,ADSL,3792129,136416004
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,ADVANIHOTR,3774721,133956868
Advanced Enzyme Technologies Limited,ADVENZYMES,ADVENZYMES,4617985,138246404
Aegis Logistics Limited,AEGISCHEM,AEGISLOG,10241,128000772
Agarwal Industrial Corporation Limited,AGARIND,AGARIND,867585,136171780
Agri-Tech (India) Limited,AGRITECH,AGRITECH,2834433,137546756
Asian Hotels (East) Limited,AHLEAST,AHLEAST,4976129,136506116
Ahluwalia Contracts (India) Limited,AHLUCONT,AHLUCONT,4565249,136399620
Asian Hotels (West) Limited,AHLWEST,AHLWEST,4957697,136504580
AIA Engineering Limited,AIAENG,AIAENG,3350017,136366852
Ajanta Pharma Limited,AJANTPHARM,AJANTPHARM,2079745,136276740
Ajmera Realty & Infra India Limited,AJMERA,AJMERA,4430593,131417348
AksharChem India Limited,AKSHARCHEM,AKSCHEM,5165569,134297092
Akzo Nobel India Limited,AKZOINDIA,AKZOINDIA,375553,128181764
Alankit Limited,ALANKIT,ALANKIT,2539777,135956996
Albert David Limited,ALBERTDAVD,ALBERTDA,4417537,134163204
Alembic Limited,ALEMBICLTD,ALEMBICLTD,20225,129596164
Alicon Castalloy Limited,ALICON,ALICON,3495937,135973636
Alkali Metals Limited,ALKALI,ALKALI,4341505,136455428
Alkem Laboratories Limited,ALKEM,ALKEM,2995969,138117892
Alkyl Amines Chemicals Limited,ALKYLAMINE,ALKYLAMINE,1148673,129732356
Allcargo Logistics Limited,ALLCARGO,ALLCARGO,3456257,136383748
Allsec Technologies Limited,ALLSEC,ALLSEC,3020289,136354052
Almondz Global Securities Limited,ALMONDZ,ALMONDZ,4280065,136038404
Alok Industries Limited,ALOKINDS,ALOKTEXT,4524801,133393924
Alphageo (India) Limited,ALPHAGEO,ALPHAGEO,3736833,134757636
Amara Raja Batteries Limited,AMARAJABAT,AMARAJABAT,25601,128002052
Amber Enterprises India Limited,AMBER,AMBER,303361,138470916
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,AMBICAAGAR,2942977,136277764
Ambika Cotton Mills Limited,AMBIKCO,AMBIKCO,3899905,136186372
Ambuja Cements Limited,AMBUJACEM,AMBUJACEM,325121,128108804
AMD Industries Limited,AMDIND,AMDIND,3685889,136403972
Amj Land Holdings Limited,AMJLAND,AMJLAND,665089,128087812
Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN,4492033,151041540
ANDHRA PAPER LIMITED,ANDHRAPAP,ANDHRAPAP,42497,128596484
The Andhra Sugars Limited,ANDHRSUGAR,ANDHRSUGAR,34817,151055876
Angel Broking Limited,ANGELBRKG,ANGELBRKG,82945,139068164
Anik Industries Limited,ANIKINDS,ANIKINDS,4264193,132962052
Anmol India Limited,ANMOL,ANMOL,954113,138863876
Ansal Housing Limited,ANSALHSG,ANSALHSG,3500289,130003972
The Anup Engineering Limited,ANUP,ANUP,2307585,138869764
Anupam Rasayan India Limited,ANURAS,ANURAS,724225,139078404
Apar Industries Limited,APARINDS,APARINDS,2941697,136258308
Anjani Portland Cement Limited,APCL,APCL,5235969,132631300
Apcotex Industries Limited,APCOTEXIND,APCOTEXIND,39425,134065668
Apex Frozen Foods Limited,APEX,APEX,5535489,138417156
APL Apollo Tubes Limited,APLAPOLLO,APLAPOLLO,6599681,136642052
Alembic Pharmaceuticals Limited,APLLTD,APLLTD,6483969,136594692
Apollo Micro Systems Limited,APOLLO,APOLLO,290305,138465028
Apollo Hospitals Enterprise Limited,APOLLOHOSP,APOLLOHOSP,40193,130270468
Apollo Pipes Limited,APOLLOPIPE,APOLLOPIPES,3676417,136130820
Apollo Tyres Limited,APOLLOTYRE,APOLLOTYRE,41729,128224516
Aptech Limited,APTECHT,APTECHT,2753281,136313604
Archies Limited,ARCHIES,ARCHIES,1456129,136246276
Rajdarshan Industries Limited,ARENTERP,ARENTERP,46337,134825476
Aries Agro Limited,ARIES,ARIES,3892225,136431364
Arman Financial Services Limited,ARMANFIN,ARMANFIN,4419329,135981828
Aro Granite Industries Limited,AROGRANITE,AROGRANITE,3726593,131514628
Arshiya Limited,ARSHIYA,ARSHIYA,4562177,129554948
Arvind Limited,ARVIND,ARVIND,49409,128025860
Arvind Fashions Limited,ARVINDFASN,ARVINDFASN,2332417,138875908
Arvind SmartSpaces Limited,ARVSMART,ARVSMART,2676993,138061060
Asahi India Glass Limited,ASAHIINDIA,ASAHIINDIA,1376769,131847684
Asahi Songwon Colors Limited,ASAHISONG,ASAHISONG,6422529,136410372
Automotive Stampings and Assemblies Limited,ASAL,ASAL,2722305,133150468
Associated Alcohols & Breweries Ltd.,ASALCBR,ASALCBR,4505089,129926660
Ashiana Housing Limited,ASHIANA,ASHIANA,6247169,134071300
Ashoka Buildcon Limited,ASHOKA,ASHOKA,5166593,136517380
Ashok Leyland Limited,ASHOKLEY,ASHOKLEY,54273,128122116
Asian Hotels (North) Limited,ASIANHOTNR,ASIANHOTNR,4716033,128005892
Asian Paints Limited,ASIANPAINT,ASIANPAINT,60417,128209924
Asian Granito India Limited,ASIANTILES,ASIANTILES,3811585,136419332
Astec LifeSciences Limited,ASTEC,ASTEC,4538369,136483332
Aster DM Healthcare Limited,ASTERDM,ASTERDM,386049,138489604
Astral Limited,ASTRAL,ASTRAL,3691009,136404484
Astra Microwave Products Limited,ASTRAMICRO,ASTRAMICRO,2974209,136318212
AstraZeneca Pharma India Limited,ASTRAZEN,ASTRAZEN,1436161,129745924
Astron Paper & Board Mill Limited,ASTRON,ASTRON,223745,138450948
Agro Tech Foods Limited,ATFL,ATFL,425729,128055044
Atul Limited,ATUL,ATUL,67329,128006916
Atul Auto Limited,ATULAUTO,ATULAUTO,7685889,136139524
AU Small Finance Bank Limited,AUBANK,AUBANK,5436929,138396420
Aurionpro Solutions Limited,AURIONPRO,AURIONPRO,3077633,136363012
Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA,70401,134349828
Ausom Enterprise Limited,AUSOMENT,AUSOMENT,1033473,130306308
Automotive Axles Limited,AUTOAXLES,AUTOAXLES,71169,129282564
Avadh Sugar & Energy Limited,AVADHSUGAR,AVADHSUGAR,5479937,138406148
Avanti Feeds Limited,AVANTIFEED,AVANTI,2031617,131218692
AVT Natural Products Limited,AVTNPL,AVTNPL,3586049,132890884
Antony Waste Handling Cell Limited,AWHCL,AWHCL,460033,139073028
Axis Bank Limited,AXISBANK,AXISBANK,1510401,136247044
AYM Syntex Limited,AYMSYNTEX,AYMSYNTEX,2632961,130286852
Bafna Pharmaceuticals Limited,BAFNAPH,BAFNAPHARM,4541953,136445188
Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO,4267265,136442116
Bajaj Consumer Care Limited,BAJAJCON,BAJAJCON,4999937,136506628
Bajaj Electricals Limited,BAJAJELEC,BAJAJELEC,3848705,128007940
Bajaj Finserv Limited,BAJAJFINSV,BAJAJFINSV,4268801,136442372
Bajaj Hindusthan Sugar Limited,BAJAJHIND,BAJAJHIND,78849,128008196
Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJHLDNG,78081,128125444
Bajaj Finance Limited,BAJFINANCE,BAJFINANCE,81153,128008708
Balaji Telefilms Limited,BALAJITELE,BALAJITELE,2344449,136289796
Balaji Amines Limited,BALAMINES,BALAMINES,3712257,135935748
Balkrishna Industries Limited,BALKRISIND,BALKRISIND,85761,128602884
